# Assembly name:  ASM3874594v1
# Organism name:  Cyanobacteria bacterium P01_H01_bin.74 (cyanobacteria)
# Isolate:  P01_H01_bin.74
# Taxid:          3023322
# BioSample:      SAMN32767732
# BioProject:     PRJNA914100
# Submitter:      GEOMAR Helmholtz Centre for Ocean Research
# Date:           2024-04-30
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JBCDLA01
# Assembly method: metaWRAP v. 1.3.2
# Expected final version: yes
# Genome coverage: 5x
# Sequencing technology: Illumina NovaSeq
# Excluded from RefSeq: derived from metagenome; genus undefined
# GenBank assembly accession: GCA_038745945.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_038745955.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
k141_545591_length_79907_cov_13.2737	unplaced-scaffold	na	na	JBCDLA010000001.1	<>	na	Primary Assembly	79907	na
k141_2364411_length_70880_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000002.1	<>	na	Primary Assembly	70880	na
k141_255719_length_55959_cov_13.8519	unplaced-scaffold	na	na	JBCDLA010000003.1	<>	na	Primary Assembly	55959	na
k141_2366347_length_54528_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000004.1	<>	na	Primary Assembly	54528	na
k141_438765_length_54208_cov_32.3868	unplaced-scaffold	na	na	JBCDLA010000005.1	<>	na	Primary Assembly	54208	na
k141_2776038_length_52467_cov_24.0000	unplaced-scaffold	na	na	JBCDLA010000006.1	<>	na	Primary Assembly	52467	na
k141_2783125_length_46641_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000007.1	<>	na	Primary Assembly	46641	na
k141_2764107_length_46174_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000008.1	<>	na	Primary Assembly	46174	na
k141_2290706_length_45725_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000009.1	<>	na	Primary Assembly	45725	na
k141_1602610_length_45096_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000010.1	<>	na	Primary Assembly	45096	na
k141_72952_length_43663_cov_15.9932	unplaced-scaffold	na	na	JBCDLA010000011.1	<>	na	Primary Assembly	43663	na
k141_1931302_length_42212_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000012.1	<>	na	Primary Assembly	42212	na
k141_3073223_length_41847_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000013.1	<>	na	Primary Assembly	41847	na
k141_1435415_length_41828_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000014.1	<>	na	Primary Assembly	41828	na
k141_1986560_length_38302_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000015.1	<>	na	Primary Assembly	38302	na
k141_1042690_length_38217_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000016.1	<>	na	Primary Assembly	38217	na
k141_1567056_length_37773_cov_11.0000	unplaced-scaffold	na	na	JBCDLA010000017.1	<>	na	Primary Assembly	37773	na
k141_3037842_length_35652_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000018.1	<>	na	Primary Assembly	35652	na
k141_1144554_length_32238_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000019.1	<>	na	Primary Assembly	32238	na
k141_3161259_length_31876_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000020.1	<>	na	Primary Assembly	31876	na
k141_3107332_length_31538_cov_11.0000	unplaced-scaffold	na	na	JBCDLA010000021.1	<>	na	Primary Assembly	31538	na
k141_1118270_length_31424_cov_15.0000	unplaced-scaffold	na	na	JBCDLA010000022.1	<>	na	Primary Assembly	31424	na
k141_531216_length_31358_cov_13.9779	unplaced-scaffold	na	na	JBCDLA010000023.1	<>	na	Primary Assembly	31358	na
k141_2150813_length_31329_cov_12.9647	unplaced-scaffold	na	na	JBCDLA010000024.1	<>	na	Primary Assembly	31329	na
k141_510847_length_30757_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000025.1	<>	na	Primary Assembly	30757	na
k141_549018_length_30598_cov_12.0524	unplaced-scaffold	na	na	JBCDLA010000026.1	<>	na	Primary Assembly	30598	na
k141_2196764_length_30066_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000027.1	<>	na	Primary Assembly	30066	na
k141_669366_length_29304_cov_13.6044	unplaced-scaffold	na	na	JBCDLA010000028.1	<>	na	Primary Assembly	29304	na
k141_2874444_length_29261_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000029.1	<>	na	Primary Assembly	29261	na
k141_3365176_length_28878_cov_12.9732	unplaced-scaffold	na	na	JBCDLA010000030.1	<>	na	Primary Assembly	28878	na
k141_1421901_length_28603_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000031.1	<>	na	Primary Assembly	28603	na
k141_347333_length_28177_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000032.1	<>	na	Primary Assembly	28177	na
k141_1851364_length_27739_cov_15.0024	unplaced-scaffold	na	na	JBCDLA010000033.1	<>	na	Primary Assembly	27739	na
k141_1530720_length_27609_cov_14.0197	unplaced-scaffold	na	na	JBCDLA010000034.1	<>	na	Primary Assembly	27609	na
k141_467080_length_26879_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000035.1	<>	na	Primary Assembly	26879	na
k141_1465169_length_26542_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000036.1	<>	na	Primary Assembly	26542	na
k141_1659009_length_24740_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000037.1	<>	na	Primary Assembly	24740	na
k141_2488499_length_24294_cov_12.0000	unplaced-scaffold	na	na	JBCDLA010000038.1	<>	na	Primary Assembly	24294	na
k141_645569_length_23848_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000039.1	<>	na	Primary Assembly	23848	na
k141_2815954_length_22915_cov_14.0196	unplaced-scaffold	na	na	JBCDLA010000040.1	<>	na	Primary Assembly	22915	na
k141_3353334_length_22875_cov_13.0000	unplaced-scaffold	na	na	JBCDLA010000041.1	<>	na	Primary Assembly	22875	na
k141_1077287_length_22340_cov_14.0000	unplaced-scaffold	na	na	JBCDLA010000042.1	<>	na	Primary Assembly	22340	na
